Wall time,Step,Value
1696133999.2504575,249,0.7406814098358154
1696134427.61491,949,0.14120517671108246
1696134671.529182,1349,0.13339552283287048
1696134702.0953333,1399,0.503589391708374
1696135099.6878233,2049,0.28357335925102234
1696135313.517234,2399,0.1360616385936737
1696135343.9462054,2449,0.16682249307632446
1696135772.248664,3149,0.036874834448099136
1696135802.8167264,3199,0.32115471363067627
1696135925.2465277,3399,0.046271637082099915
1696136047.7509048,3599,0.2160324603319168
1696136231.537549,3899,0.5881810188293457
1696136384.4882867,4149,0.13661006093025208
1696136599.33312,4499,0.05741077661514282
1696136905.0270028,4999,0.4368801712989807
1696137027.6701908,5199,0.07450231909751892
1696137149.9048107,5399,0.5181939601898193
1696137578.4626126,6099,0.1613323837518692
1696137701.6517031,6299,0.10516545176506042
1696137732.1767788,6349,0.05390121042728424
1696137793.636422,6449,0.06573016196489334
1696137854.760224,6549,0.15168143808841705
1696138038.474686,6849,0.04164641350507736
1696138283.416386,7249,0.17776921391487122
1696138375.079734,7399,0.07091588526964188
1696138680.579947,7899,0.07442307472229004
1696138772.1052623,8049,0.057880815118551254
1696138833.1762676,8149,0.12877464294433594
1696138894.6795955,8249,0.08995041251182556
1696139138.6858923,8649,0.1775844693183899
1696139291.2657137,8899,0.1322665810585022
1696139720.011691,9599,0.1764639914035797
1696140086.727703,10199,0.13860666751861572
1696140147.8041134,10299,0.1081368699669838
1696140391.9944057,10699,0.2211175262928009
1696140881.2679555,11499,0.056962382048368454
1696141339.9113252,12249,0.12075399607419968
1696141370.259429,12299,0.16218878328800201
1696141767.7341683,12949,0.589490532875061
1696141798.4041326,12999,0.10136754810810089
1696142166.6867933,13599,0.13417792320251465
1696142258.5208611,13749,0.09158892184495926
1696142502.5475857,14149,0.1092645600438118
1696142594.5252151,14299,0.04846494272351265
1696142748.5916872,14549,0.05715978890657425
1696142901.1258135,14799,0.05600988492369652
1696143298.968788,15449,0.11873876303434372
1696143544.5748477,15849,0.24126094579696655
1696143605.7449155,15949,0.08081074059009552
1696143636.4303987,15999,0.12858955562114716
1696143727.830489,16149,0.04176829755306244
1696144431.4132617,17299,0.06651294976472855
1696144461.9038656,17349,0.022796284407377243
1696144829.7608316,17949,0.06024062633514404
1696145014.1309164,18249,0.06782868504524231
1696145044.6577914,18299,0.03837868943810463
1696145074.7302823,18349,0.059427034109830856
1696145442.6506028,18949,0.06927628815174103
1696145687.777992,19349,0.0986064225435257
1696145810.3179207,19549,0.7708934545516968
1696145871.4280977,19649,0.5782800316810608
1696146024.4142685,19899,0.10727345943450928
1696146177.7796574,20149,0.09142955392599106
1696146239.3157692,20249,0.1267463117837906
1696146576.0221672,20799,0.046574972569942474
1696146759.6107893,21099,0.11244358122348785
1696146790.0219948,21149,0.03502873331308365
1696147218.3758671,21849,0.3819214105606079
1696147248.931349,21899,0.7072924971580505
1696147310.1965733,21999,0.040500715374946594
1696147523.606176,22349,0.04747651889920235
1696147707.2640023,22649,0.02968979999423027
1696147982.602132,23099,0.021152034401893616
1696148105.3558424,23299,0.031068097800016403
1696148197.2150772,23449,0.09587715566158295
1696148258.2541907,23549,0.06442758440971375
1696148380.577401,23749,0.008668330498039722
1696148411.4726682,23799,0.021654266864061356
1696148564.7929027,24049,0.025229420512914658
1696148595.9305706,24099,0.07956645637750626
1696148779.673987,24399,0.038130320608615875
1696149484.9059114,25549,0.021073242649435997
1696149545.9866633,25649,0.041502945125103
1696149576.9701648,25699,0.08297622203826904
1696149607.3152642,25749,0.03591372072696686
